,0
0,0.09541302875101755
1,0.06104587224543905
2,0.0355603261218221
3,0.8863099146186062
4,0.7093263106622537
5,0.8997223793486959
6,0.06086385061822652
7,0.0355603261218221
8,0.7020372654644808
9,0.9804015390393739
10,0.17685751823013587
11,0.9572574592960675
12,0.5721888336654415
13,0.24727910585625185
14,0.46509270883564335
15,0.4723652225121473
16,0.04396229226731544
17,0.06438714037651526
18,0.034779537556562226
19,0.008609693771864256
20,0.053965251610157784
21,0.5055781460138311
22,0.0642960592231351
23,0.15019100856197873
24,0.15361853978249923
25,0.0522309349453333
26,0.25581021533788045
27,0.9799700320707357
28,0.1706735413594635
29,0.048473001896720616
30,0.043457510072133144
31,0.06104587224543905
32,0.9633317702252755
33,0.15331790734805
34,0.7092600692140109
35,0.35726053259054863
36,0.04456435205844308
37,0.17802670123039974
38,0.2812884111495815
39,0.09148313245607274
40,0.08044173613158016
41,0.1668324606773224
42,0.10253504763875593
43,0.3572941768969104
44,0.15402032189652531
45,0.28972824497748767
46,0.1758571922473845
47,0.03443615116967791
48,0.7091029614994797
49,0.19013338827236972
50,0.3691375328627534
51,0.8968545484907459
52,0.31066886912685
53,0.423937958250971
54,0.03217437795551683
55,0.49047043613064184
56,0.02700970830720237
57,0.038951522396541614
58,0.04432003369395356
59,0.25462451880738374
60,0.25322417528635843
61,0.00830259643097262
62,0.8469655307196174
63,0.050927450172033734
64,0.13584493725740807
65,0.978490113154901
66,0.8183004326977701
67,0.3995952611873016
68,0.05623077695263393
69,0.013800586054262246
70,0.021214814763032032
71,0.11259513649138549
72,0.49697735846631486
73,0.1272822615012253
74,0.9907256540682561
75,0.706472680781721
76,0.04481883461420145
77,0.031430131985980665
78,0.9831153139419383
79,0.12074065689724818
80,0.14151808121659679
81,0.6565076686584552
82,0.5747725482776883
83,0.9480416568398283
84,0.3725357839469917
85,0.047610394391851316
86,0.43913192480519325
87,0.08699970762463208
88,0.043213874216794644
89,0.01848661551989271
90,0.008368752734028548
91,0.3454632490503372
92,0.11081106964993162
93,0.8412481899426898
94,0.08170022737622133
95,0.12514035585786276
96,0.25581021533788045
97,0.020406689040966024
98,0.08077905556589489
99,0.17685751823013587
100,0.13005936468705032
101,0.17432418225240992
102,0.10289266802241194
103,0.9384409279028773
104,0.08821895777205413
105,0.08799770431332193
106,0.9747206008285699
107,0.10253504763875593
108,0.46516070121372927
109,0.14887764908937048
110,0.09997154164248816
111,0.9843532384609113
112,0.47185917820685813
113,0.7377580582057268
114,0.20636582940629286
115,0.4599175786414079
116,0.09148313245607274
117,0.8491248181056643
118,0.9817415767413692
119,0.08044173613158016
120,0.24107786247692095
121,0.07277223696937124
122,0.04996519108221484
123,0.13172682466578162
124,0.009752063773686212
125,0.4669027798992083
126,0.039970207490586836
127,0.9703422323358369
128,0.4372354633327769
129,0.03217437795551683
130,0.3615772561766097
131,0.2817092783923181
132,0.29298477494790476
133,0.4885250461456725
134,0.30703096179586914
135,0.033720125298430395
136,0.9769334120357555
137,0.8319876817498773
138,0.35726053259054863
139,0.9772831136092016
140,0.0919801351090902
141,0.9238281564675354
142,0.08170022737622133
143,0.46487896404390444
144,0.9919936383745777
145,0.9599979976899907
146,0.9443797762056532
147,0.012928716554838222
148,0.2556234820307251
149,0.8625139448540083
150,0.20559895757924088
151,0.03448703632495273
152,0.9856459099825512
153,0.07309122452661602
154,0.423937958250971
155,0.08170022737622133
156,0.20611265925161318
157,0.029488944165550913
158,0.7265824226016397
159,0.08382500473206331
160,0.9674075427417215
161,0.20602817548353453
162,0.40391857175666995
163,0.25581021533788045
164,0.02965096023702778
165,0.0940490494294467
166,0.060901410509399685
167,0.08765228163410081
168,0.9361603446953671
169,0.06874313533129046
170,0.37016634748777416
171,0.7285912441298354
172,0.15043986035825666
173,0.03894794611931299
174,0.01610826417197166
175,0.11861394188252962
176,0.5287052646805406
177,0.9058363354604697
178,0.047610394391851316
